Entity ID,Friendly Name,State,Unit,Device Class,State Class,Icon,Last Updated,Last Changed,Domain,Integration,Restored,Supported Features
sensor.file_editor_version,File editor Version,5.8.0,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.482593+00:00,2025-10-02T15:07:07.482593+00:00,sensor,N/A,False,N/A
sensor.file_editor_newest_version,File editor Newest version,5.8.0,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.483341+00:00,2025-10-02T15:07:07.483341+00:00,sensor,N/A,False,N/A
sensor.file_editor_cpu_percent,File editor CPU percent,0.01,%,N/A,measurement,N/A,2025-10-02T15:33:27.732728+00:00,2025-10-02T15:33:27.732728+00:00,sensor,N/A,False,N/A
sensor.file_editor_memory_percent,File editor Memory percent,0.35,%,N/A,measurement,N/A,2025-10-02T15:07:34.260638+00:00,2025-10-02T15:07:34.260638+00:00,sensor,N/A,False,N/A
sensor.advanced_ssh_web_terminal_version,Advanced SSH & Web Terminal Version,21.0.3,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.485145+00:00,2025-10-02T15:07:07.485145+00:00,sensor,N/A,False,N/A
sensor.advanced_ssh_web_terminal_newest_version,Advanced SSH & Web Terminal Newest version,21.0.3,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.485759+00:00,2025-10-02T15:07:07.485759+00:00,sensor,N/A,False,N/A
sensor.advanced_ssh_web_terminal_cpu_percent,Advanced SSH & Web Terminal CPU percent,unavailable,%,N/A,measurement,N/A,2025-10-02T15:07:07.486292+00:00,2025-10-02T15:07:07.486292+00:00,sensor,N/A,False,N/A
sensor.advanced_ssh_web_terminal_memory_percent,Advanced SSH & Web Terminal Memory percent,unavailable,%,N/A,measurement,N/A,2025-10-02T15:07:07.486790+00:00,2025-10-02T15:07:07.486790+00:00,sensor,N/A,False,N/A
sensor.studio_code_server_version,Studio Code Server Version,5.19.3,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.487303+00:00,2025-10-02T15:07:07.487303+00:00,sensor,N/A,False,N/A
sensor.studio_code_server_newest_version,Studio Code Server Newest version,5.19.3,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.488343+00:00,2025-10-02T15:07:07.488343+00:00,sensor,N/A,False,N/A
sensor.studio_code_server_cpu_percent,Studio Code Server CPU percent,5.22,%,N/A,measurement,N/A,2025-10-02T15:38:38.906242+00:00,2025-10-02T15:38:38.906242+00:00,sensor,N/A,False,N/A
sensor.studio_code_server_memory_percent,Studio Code Server Memory percent,8.82,%,N/A,measurement,N/A,2025-10-02T15:33:27.733932+00:00,2025-10-02T15:33:27.733932+00:00,sensor,N/A,False,N/A
sensor.terminal_ssh_version,Terminal & SSH Version,9.20.1,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.489937+00:00,2025-10-02T15:07:07.489937+00:00,sensor,N/A,False,N/A
sensor.terminal_ssh_newest_version,Terminal & SSH Newest version,9.20.1,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.490401+00:00,2025-10-02T15:07:07.490401+00:00,sensor,N/A,False,N/A
sensor.terminal_ssh_cpu_percent,Terminal & SSH CPU percent,0.0,%,N/A,measurement,N/A,2025-10-02T15:07:34.262772+00:00,2025-10-02T15:07:34.262772+00:00,sensor,N/A,False,N/A
sensor.terminal_ssh_memory_percent,Terminal & SSH Memory percent,0.04,%,N/A,measurement,N/A,2025-10-02T15:07:34.263074+00:00,2025-10-02T15:07:34.263074+00:00,sensor,N/A,False,N/A
sensor.influxdb_version,InfluxDB Version,5.0.2,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.492777+00:00,2025-10-02T15:07:07.492777+00:00,sensor,N/A,False,N/A
sensor.influxdb_newest_version,InfluxDB Newest version,5.0.2,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.499726+00:00,2025-10-02T15:07:07.499726+00:00,sensor,N/A,False,N/A
sensor.influxdb_cpu_percent,InfluxDB CPU percent,0.64,%,N/A,measurement,N/A,2025-10-02T15:38:38.907539+00:00,2025-10-02T15:38:38.907539+00:00,sensor,N/A,False,N/A
sensor.influxdb_memory_percent,InfluxDB Memory percent,2.0,%,N/A,measurement,N/A,2025-10-02T15:07:34.263927+00:00,2025-10-02T15:07:34.263927+00:00,sensor,N/A,False,N/A
sensor.grafana_version,Grafana Version,11.0.0,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.501416+00:00,2025-10-02T15:07:07.501416+00:00,sensor,N/A,False,N/A
sensor.grafana_newest_version,Grafana Newest version,11.0.0,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.501971+00:00,2025-10-02T15:07:07.501971+00:00,sensor,N/A,False,N/A
sensor.grafana_cpu_percent,Grafana CPU percent,0.86,%,N/A,measurement,N/A,2025-10-02T15:38:38.910040+00:00,2025-10-02T15:38:38.910040+00:00,sensor,N/A,False,N/A
sensor.grafana_memory_percent,Grafana Memory percent,2.48,%,N/A,measurement,N/A,2025-10-02T15:38:38.910388+00:00,2025-10-02T15:38:38.910388+00:00,sensor,N/A,False,N/A
sensor.node_red_version,Node-RED Version,20.0.0,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.503369+00:00,2025-10-02T15:07:07.503369+00:00,sensor,N/A,False,N/A
sensor.node_red_newest_version,Node-RED Newest version,20.0.0,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.503892+00:00,2025-10-02T15:07:07.503892+00:00,sensor,N/A,False,N/A
sensor.node_red_cpu_percent,Node-RED CPU percent,0.0,%,N/A,measurement,N/A,2025-10-02T15:38:38.913672+00:00,2025-10-02T15:38:38.913672+00:00,sensor,N/A,False,N/A
sensor.node_red_memory_percent,Node-RED Memory percent,2.23,%,N/A,measurement,N/A,2025-10-02T15:38:38.914194+00:00,2025-10-02T15:38:38.914194+00:00,sensor,N/A,False,N/A
sensor.get_hacs_version,Get HACS Version,1.3.1,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.507172+00:00,2025-10-02T15:07:07.507172+00:00,sensor,N/A,False,N/A
sensor.get_hacs_newest_version,Get HACS Newest version,1.3.1,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.507685+00:00,2025-10-02T15:07:07.507685+00:00,sensor,N/A,False,N/A
sensor.get_hacs_cpu_percent,Get HACS CPU percent,unavailable,%,N/A,measurement,N/A,2025-10-02T15:07:07.508219+00:00,2025-10-02T15:07:07.508219+00:00,sensor,N/A,False,N/A
sensor.get_hacs_memory_percent,Get HACS Memory percent,unavailable,%,N/A,measurement,N/A,2025-10-02T15:07:07.508724+00:00,2025-10-02T15:07:07.508724+00:00,sensor,N/A,False,N/A
sensor.duck_dns_version,Duck DNS Version,1.26.0,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.509204+00:00,2025-10-02T15:07:07.509204+00:00,sensor,N/A,False,N/A
sensor.duck_dns_newest_version,Duck DNS Newest version,1.26.0,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.509776+00:00,2025-10-02T15:07:07.509776+00:00,sensor,N/A,False,N/A
sensor.duck_dns_cpu_percent,Duck DNS CPU percent,0.0,%,N/A,measurement,N/A,2025-10-02T15:07:34.268371+00:00,2025-10-02T15:07:34.268371+00:00,sensor,N/A,False,N/A
sensor.duck_dns_memory_percent,Duck DNS Memory percent,0.09,%,N/A,measurement,N/A,2025-10-02T15:07:34.268692+00:00,2025-10-02T15:07:34.268692+00:00,sensor,N/A,False,N/A
sensor.vlc_version,VLC Version,0.3.1,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.511689+00:00,2025-10-02T15:07:07.511689+00:00,sensor,N/A,False,N/A
sensor.vlc_newest_version,VLC Newest version,0.3.1,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.512224+00:00,2025-10-02T15:07:07.512224+00:00,sensor,N/A,False,N/A
sensor.vlc_cpu_percent,VLC CPU percent,0.0,%,N/A,measurement,N/A,2025-10-02T15:07:34.269153+00:00,2025-10-02T15:07:34.269153+00:00,sensor,N/A,False,N/A
sensor.vlc_memory_percent,VLC Memory percent,0.17,%,N/A,measurement,N/A,2025-10-02T15:07:34.269420+00:00,2025-10-02T15:07:34.269420+00:00,sensor,N/A,False,N/A
sensor.adguard_home_version,AdGuard Home Version,5.3.3,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.513733+00:00,2025-10-02T15:07:07.513733+00:00,sensor,N/A,False,N/A
sensor.adguard_home_newest_version,AdGuard Home Newest version,5.3.3,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.514255+00:00,2025-10-02T15:07:07.514255+00:00,sensor,N/A,False,N/A
sensor.adguard_home_cpu_percent,AdGuard Home CPU percent,0.02,%,N/A,measurement,N/A,2025-10-02T15:38:38.916545+00:00,2025-10-02T15:38:38.916545+00:00,sensor,N/A,False,N/A
sensor.adguard_home_memory_percent,AdGuard Home Memory percent,0.63,%,N/A,measurement,N/A,2025-10-02T15:07:34.270156+00:00,2025-10-02T15:07:34.270156+00:00,sensor,N/A,False,N/A
sensor.glances_version,Glances Version,0.21.1,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.515711+00:00,2025-10-02T15:07:07.515711+00:00,sensor,N/A,False,N/A
sensor.glances_newest_version,Glances Newest version,0.21.1,N/A,N/A,N/A,N/A,2025-10-02T15:07:07.516207+00:00,2025-10-02T15:07:07.516207+00:00,sensor,N/A,False,N/A
